ID,Year,Group_Name,Persons,Area
587,2007,2,8,27
588,2007,2,165,3
589,2007,2,674,29
590,2007,2,0,30
591,2007,2,759,31
592,2007,2,43,32
593,2007,2,1991,33
594,2007,2,90,34
595,2007,2,943,35
596,2008,2,1,1
597,2008,2,911,2
598,2008,2,5,3
599,2008,2,854,4
600,2008,2,1101,5
601,2008,2,37,6
602,2008,2,129,7
603,2008,2,1,8
604,2008,2,0,9
605,2008,2,161,10
606,2008,2,5,11
607,2008,2,512,12
608,2008,2,250,11
609,2008,2,65,14
610,2008,2,387,15
611,2008,2,223,16
612,2008,2,264,17
613,2008,2,139,18
614,2008,2,0,19
615,2008,2,639,20
616,2008,2,687,21
617,2008,2,0,22
618,2008,2,4,23
619,2008,2,0,24
620,2008,2,0,25
621,2008,2,403,26
622,2008,2,4,27
623,2008,2,159,28
624,2008,2,497,29
625,2008,2,1,30
626,2008,2,683,31
627,2008,2,43,32
628,2008,2,2366,33
629,2008,2,161,34
630,2008,2,1021,35
631,2009,2,6,7
632,2009,2,1319,11
633,2009,2,6,3
634,2009,2,591,4
635,2009,2,1326,5
636,2009,2,23,6
637,2009,2,121,7
638,2009,2,1,8
639,2009,2,0,9
640,2009,2,105,10
641,2009,2,14,11
642,2009,2,472,12
643,2009,2,384,13
644,2009,2,85,14
645,2009,2,554,15
646,2009,2,330,16
647,2009,2,325,17
648,2009,2,128,18
649,2009,2,0,19
650,2009,2,551,20
651,2009,2,576,21
652,2009,2,0,22
653,2009,2,18,11
654,2009,2,0,24
655,2009,2,0,25
656,2009,2,357,26
657,2009,2,6,27
658,2009,2,294,28
659,2009,2,501,29
660,2009,2,5,30
661,2009,2,659,31
662,2009,2,65,7
663,2009,2,3489,33
664,2009,2,114,34
665,2009,2,858,35
666,2010,2,0,1
667,2010,2,1265,2
668,2010,2,3,3
669,2010,2,671,4
670,2010,2,1440,5
671,2010,2,13,6
672,2010,2,144,7
673,2010,2,2,8
674,2010,2,0,9
675,2010,2,155,10
676,2010,2,13,11
677,2010,2,712,21
678,2010,2,356,13
679,2010,2,74,14
680,2010,2,436,15
681,2010,2,380,16
682,2010,2,344,17
683,2010,2,95,18
684,2010,2,0,19
685,2010,2,833,20
686,2010,2,655,21
687,2010,2,2,22
688,2010,2,6,23
689,2010,2,0,24
690,2010,2,2,7
691,2010,2,666,26
692,2010,2,5,27
693,2010,2,234,28
694,2010,2,468,29
695,2010,2,1,30
696,2010,2,683,31
697,2010,2,151,32
698,2010,2,3369,21
699,2010,2,94,34
700,2010,2,848,35
701,2001,3,0,1
702,2001,3,734,2
703,2001,3,0,3
704,2001,3,37,4
705,2001,3,903,5
706,2001,3,9,6
707,2001,3,82,7
708,2001,3,0,8
709,2001,3,0,9
710,2001,3,51,10
711,2001,3,4,11
712,2001,3,58,12
713,2001,3,716,7
714,2001,3,8,14
715,2001,3,48,15
716,2001,3,438,21
717,2001,3,358,17
718,2001,3,15,18
719,2001,3,0,19
720,2001,3,1109,20
721,2001,3,1021,21
722,2001,3,0,22
723,2001,3,0,23
724,2001,3,0,24
725,2001,3,0,25
726,2001,3,367,26
727,2001,3,8,27
728,2001,3,229,28
729,2001,3,406,29
730,2001,3,0,30
731,2001,3,417,31
732,2001,3,13,32
733,2001,3,2296,33
734,2001,3,90,7
735,2001,3,293,35
736,2002,3,0,1
737,2002,3,745,2
738,2002,3,0,3
739,2002,3,33,4
740,2002,3,666,5
741,2002,3,9,6
742,2002,3,159,7
743,2002,3,0,8
744,2002,3,0,9
745,2002,3,75,10
746,2002,3,0,11
747,2002,3,134,12
748,2002,3,603,13
749,2002,3,4,14
750,2002,3,7,15
751,2002,3,369,16
752,2002,3,325,5
753,2002,3,19,18
754,2002,3,0,19
755,2002,3,980,20
756,2002,3,745,21
757,2002,3,0,22
758,2002,3,0,23
759,2002,3,0,24
760,2002,3,0,25
761,2002,3,275,26
762,2002,3,7,7
763,2002,3,217,28
764,2002,3,626,29
765,2002,3,0,30
766,2002,3,864,31
767,2002,3,8,32
768,2002,3,2962,33
769,2002,3,56,5
770,2002,3,614,35
771,2003,3,1,1
772,2003,3,830,2
773,2003,3,0,3
774,2003,3,39,4
775,2003,3,999,5
776,2003,3,0,6
777,2003,3,168,7
778,2003,3,0,8
779,2003,3,0,9
780,2003,3,76,10
781,2003,3,1,11
782,2003,3,149,12
783,2003,3,461,13
784,2003,3,23,7
785,2003,3,20,15
786,2003,3,205,16
787,2003,3,364,17
788,2003,3,16,18
789,2003,3,0,19
790,2003,3,1336,20
791,2003,3,1523,21
792,2003,3,0,22
793,2003,3,0,55
794,2003,3,0,24
795,2003,3,0,25
796,2003,3,515,26
797,2003,3,0,27
798,2003,3,179,28
799,2003,3,346,29
800,2003,3,0,30
801,2003,3,396,31
802,2003,3,9,32
803,2003,3,2263,33
804,2003,3,32,34
805,2003,3,564,35
806,2004,3,0,1
807,2004,3,891,7
808,2004,3,0,3
809,2004,3,54,4
810,2004,3,1024,5
811,2004,3,7,6
812,2004,3,142,7
813,2004,3,0,8
814,2004,3,0,9
815,2004,3,86,10
816,2004,3,9,11
817,2004,3,135,5
818,2004,3,463,13
819,2004,3,15,14
820,2004,3,20,15
821,2004,3,205,16
822,2004,3,484,17
823,2004,3,15,18
824,2004,3,0,19
825,2004,3,1270,20
826,2004,3,846,21
827,2004,3,0,22
828,2004,3,0,23
829,2004,3,0,24
830,2004,3,0,25
831,2004,3,489,26
832,2004,3,1,27
833,2004,3,150,28
834,2004,3,340,29
835,2004,3,0,30
836,2004,3,340,31
837,2004,3,17,7
838,2004,3,2271,33
839,2004,3,46,34
840,2004,3,583,35
841,2005,3,0,1
842,2005,3,1033,2
843,2005,3,0,3
844,2005,3,53,4
845,2005,3,1136,5
846,2005,3,12,6
847,2005,3,150,7
848,2005,3,5,8
849,2005,3,0,9
850,2005,3,186,10
851,2005,3,4,11
852,2005,3,130,7
853,2005,3,484,13
854,2005,3,11,14
855,2005,3,2,15
856,2005,3,425,16
857,2005,3,614,5
858,2005,3,38,18
859,2005,3,0,19
860,2005,3,1536,20
861,2005,3,792,21
862,2005,3,0,22
863,2005,3,0,23
